x(dtmb),y(dtmb),z(dtmb),psi(dtmb),theta(dtmb),phi(dtmb)
2.031179e+03,7.594443e+02,2.693807e+00,5.412197e-01,1.430159e-01,-2.534125e+00
2.039661e+03,7.648779e+02,1.606903e+00,5.369955e-01,1.503592e-01,-2.598844e+00
2.048144e+03,7.702995e+02,4.546754e-01,5.333365e-01,1.558785e-01,-2.668204e+00
2.056628e+03,7.757091e+02,-7.521934e-01,5.303839e-01,1.595867e-01,-2.741595e+00
2.065114e+03,7.811063e+02,-2.004838e+00,5.282547e-01,1.615565e-01,-2.818432e+00
2.073601e+03,7.864918e+02,-3.293643e+00,5.270250e-01,1.619038e-01,-2.898069e+00
2.082091e+03,7.918667e+02,-4.607113e+00,5.267214e-01,1.607653e-01,-2.979614e+00
2.090583e+03,7.972323e+02,-5.928769e+00,5.273144e-01,1.583831e-01,-3.062084e+00
2.099075e+03,8.025907e+02,-7.242323e+00,5.287305e-01,1.550371e-01,3.138615e+00
2.107569e+03,8.079445e+02,-8.544450e+00,5.308831e-01,1.507714e-01,3.056695e+00
2.116063e+03,8.132939e+02,-9.814797e+00,5.336645e-01,1.460845e-01,2.975864e+00
2.124557e+03,8.186403e+02,-1.104476e+01,5.369357e-01,1.411841e-01,2.896541e+00
2.133050e+03,8.239871e+02,-1.223287e+01,5.405315e-01,1.360153e-01,2.819211e+00
2.141540e+03,8.293331e+02,-1.336657e+01,5.443611e-01,1.309798e-01,2.743848e+00
2.150028e+03,8.346789e+02,-1.444095e+01,5.483099e-01,1.261889e-01,2.670546e+00
2.158514e+03,8.400248e+02,-1.545085e+01,5.522887e-01,1.217661e-01,2.599058e+00
2.166996e+03,8.453718e+02,-1.639437e+01,5.561920e-01,1.176910e-01,2.529429e+00
2.175475e+03,8.507216e+02,-1.727070e+01,5.599158e-01,1.138823e-01,2.461826e+00
2.183950e+03,8.560757e+02,-1.807925e+01,5.633702e-01,1.102421e-01,2.396416e+00
2.192421e+03,8.614355e+02,-1.881951e+01,5.664818e-01,1.066625e-01,2.333358e+00
2.200887e+03,8.668021e+02,-1.949112e+01,5.691950e-01,1.030288e-01,2.272794e+00
2.209350e+03,8.721765e+02,-2.009377e+01,5.714729e-01,9.922439e-02,2.214854e+00
2.217808e+03,8.775592e+02,-2.062716e+01,5.732961e-01,9.513407e-02,2.159647e+00
2.226262e+03,8.829505e+02,-2.109094e+01,5.746619e-01,9.064798e-02,2.107262e+00
2.234712e+03,8.883504e+02,-2.148469e+01,5.755826e-01,8.566469e-02,2.057767e+00
2.243160e+03,8.937586e+02,-2.180778e+01,5.760827e-01,8.009386e-02,2.011206e+00
2.251605e+03,8.991747e+02,-2.205943e+01,5.761967e-01,7.385822e-02,1.967598e+00
2.260048e+03,9.045977e+02,-2.223858e+01,5.759661e-01,6.689502e-02,1.926938e+00
